Date,Year,Month,Month_Num,Category,Product,SKU,Region,Actual,Forecast,Unit_Price,Error,Abs_Error,APE,Bias_Pct,Revenue_Actual,Revenue_Forecast,FA_Pct,Within_20
2024-01-01,2024,Jan,1,Electronics,Laptop,LAP-N-01,North,1246,1180,445,-66,66,5.296950240770466,-5.296950240770466,554470,525100,94.70304975922953,1
2024-02-01,2024,Feb,2,Electronics,Laptop,LAP-N-02,North,894,964,445,70,70,7.829977628635347,7.829977628635347,397830,428980,92.17002237136465,1
2024-03-01,2024,Mar,3,Electronics,Laptop,LAP-N-03,North,1052,1143,445,91,91,8.650190114068442,8.650190114068442,468140,508635,91.34980988593155,1
2024-04-01,2024,Apr,4,Electronics,Laptop,LAP-N-04,North,1086,1048,445,-38,38,3.4990791896869244,-3.4990791896869244,483270,466360,96.50092081031308,1
2024-05-01,2024,May,5,Electronics,Laptop,LAP-N-05,North,2141,1669,445,-472,472,22.0457730032695,-22.0457730032695,952745,742705,77.9542269967305,0
2024-06-01,2024,Jun,6,Electronics,Laptop,LAP-N-06,North,1394,1298,445,-96,96,6.886657101865136,-6.886657101865136,620330,577610,93.11334289813486,1
2024-07-01,2024,Jul,7,Electronics,Laptop,LAP-N-07,North,1353,1199,445,-154,154,11.38211382113821,-11.38211382113821,602085,533555,88.6178861788618,1
2024-08-01,2024,Aug,8,Electronics,Laptop,LAP-N-08,North,1462,823,445,-639,639,43.70725034199726,-43.70725034199726,650590,366235,56.29274965800274,0
2024-09-01,2024,Sep,9,Electronics,Laptop,LAP-N-09,North,1159,809,445,-350,350,30.198446937014666,-30.198446937014666,515755,360005,69.80155306298533,0
2024-10-01,2024,Oct,10,Electronics,Laptop,LAP-N-10,North,986,884,445,-102,102,10.344827586206897,-10.344827586206897,438770,393380,89.65517241379311,1
2024-11-01,2024,Nov,11,Electronics,Laptop,LAP-N-11,North,902,965,445,63,63,6.984478935698448,6.984478935698448,401390,429425,93.01552106430155,1
2024-12-01,2024,Dec,12,Electronics,Laptop,LAP-N-12,North,760,620,445,-140,140,18.421052631578945,-18.421052631578945,338200,275900,81.57894736842105,1
2024-01-01,2024,Jan,1,Electronics,Laptop,LAP-S-01,South,1398,1074,253,-324,324,23.17596566523605,-23.17596566523605,353694,271722,76.82403433476395,0
2024-02-01,2024,Feb,2,Electronics,Laptop,LAP-S-02,South,1220,820,253,-400,400,32.78688524590164,-32.78688524590164,308660,207460,67.21311475409837,0
2024-03-01,2024,Mar,3,Electronics,Laptop,LAP-S-03,South,1322,872,253,-450,450,34.039334341906205,-34.039334341906205,334466,220616,65.9606656580938,0
2024-04-01,2024,Apr,4,Electronics,Laptop,LAP-S-04,South,1561,1392,253,-169,169,10.826393337604099,-10.826393337604099,394933,352176,89.1736066623959,1
2024-05-01,2024,May,5,Electronics,Laptop,LAP-S-05,South,2504,1494,253,-1010,1010,40.33546325878594,-40.33546325878594,633512,377982,59.66453674121406,0
2024-06-01,2024,Jun,6,Electronics,Laptop,LAP-S-06,South,2320,1683,253,-637,637,27.456896551724135,-27.456896551724135,586960,425799,72.54310344827586,0
2024-07-01,2024,Jul,7,Electronics,Laptop,LAP-S-07,South,1625,1162,253,-463,463,28.492307692307694,-28.492307692307694,411125,293986,71.50769230769231,0
2024-08-01,2024,Aug,8,Electronics,Laptop,LAP-S-08,South,2259,1826,253,-433,433,19.16777335104028,-19.16777335104028,571527,461978,80.83222664895972,1
2024-09-01,2024,Sep,9,Electronics,Laptop,LAP-S-09,South,1587,1851,253,264,264,16.6351606805293,16.6351606805293,401511,468303,83.36483931947069,1
2024-10-01,2024,Oct,10,Electronics,Laptop,LAP-S-10,South,1233,1145,253,-88,88,7.1370640713706415,-7.1370640713706415,311949,289685,92.86293592862935,1
2024-11-01,2024,Nov,11,Electronics,Laptop,LAP-S-11,South,1698,1329,253,-369,369,21.73144876325088,-21.73144876325088,429594,336237,78.26855123674912,0
2024-12-01,2024,Dec,12,Electronics,Laptop,LAP-S-12,South,1570,1385,253,-185,185,11.78343949044586,-11.78343949044586,397210,350405,88.21656050955414,1
2024-01-01,2024,Jan,1,Electronics,Laptop,LAP-E-01,East,396,349,471,-47,47,11.868686868686869,-11.868686868686869,186516,164379,88.13131313131312,1
2024-02-01,2024,Feb,2,Electronics,Laptop,LAP-E-02,East,519,443,471,-76,76,14.64354527938343,-14.64354527938343,244449,208653,85.35645472061657,1
2024-03-01,2024,Mar,3,Electronics,Laptop,LAP-E-03,East,565,469,471,-96,96,16.991150442477874,-16.991150442477874,266115,220899,83.00884955752213,1
2024-04-01,2024,Apr,4,Electronics,Laptop,LAP-E-04,East,654,692,471,38,38,5.81039755351682,5.81039755351682,308034,325932,94.18960244648318,1
2024-05-01,2024,May,5,Electronics,Laptop,LAP-E-05,East,846,802,471,-44,44,5.200945626477541,-5.200945626477541,398466,377742,94.79905437352247,1
2024-06-01,2024,Jun,6,Electronics,Laptop,LAP-E-06,East,634,533,471,-101,101,15.930599369085174,-15.930599369085174,298614,251043,84.06940063091483,1
2024-07-01,2024,Jul,7,Electronics,Laptop,LAP-E-07,East,1066,851,471,-215,215,20.16885553470919,-20.16885553470919,502086,400821,79.8311444652908,0
2024-08-01,2024,Aug,8,Electronics,Laptop,LAP-E-08,East,529,524,471,-5,5,0.945179584120983,-0.945179584120983,249159,246804,99.05482041587902,1
2024-09-01,2024,Sep,9,Electronics,Laptop,LAP-E-09,East,778,820,471,42,42,5.3984575835475574,5.3984575835475574,366438,386220,94.60154241645245,1
2024-10-01,2024,Oct,10,Electronics,Laptop,LAP-E-10,East,647,672,471,25,25,3.863987635239567,3.863987635239567,304737,316512,96.13601236476043,1
2024-11-01,2024,Nov,11,Electronics,Laptop,LAP-E-11,East,360,278,471,-82,82,22.77777777777778,-22.77777777777778,169560,130938,77.22222222222223,0
2024-12-01,2024,Dec,12,Electronics,Laptop,LAP-E-12,East,558,476,471,-82,82,14.695340501792115,-14.695340501792115,262818,224196,85.3046594982079,1
2024-01-01,2024,Jan,1,Electronics,Laptop,LAP-W-01,West,548,515,427,-33,33,6.021897810218978,-6.021897810218978,233996,219905,93.97810218978103,1
2024-02-01,2024,Feb,2,Electronics,Laptop,LAP-W-02,West,914,503,427,-411,411,44.967177242888404,-44.967177242888404,390278,214781,55.032822757111596,0
2024-03-01,2024,Mar,3,Electronics,Laptop,LAP-W-03,West,1032,813,427,-219,219,21.22093023255814,-21.22093023255814,440664,347151,78.77906976744187,0
2024-04-01,2024,Apr,4,Electronics,Laptop,LAP-W-04,West,1046,488,427,-558,558,53.346080305927345,-53.346080305927345,446642,208376,46.653919694072655,0
2024-05-01,2024,May,5,Electronics,Laptop,LAP-W-05,West,1582,1250,427,-332,332,20.986093552465235,-20.986093552465235,675514,533750,79.01390644753477,0
2024-06-01,2024,Jun,6,Electronics,Laptop,LAP-W-06,West,1071,889,427,-182,182,16.99346405228758,-16.99346405228758,457317,379603,83.00653594771241,1
2024-07-01,2024,Jul,7,Electronics,Laptop,LAP-W-07,West,1052,733,427,-319,319,30.323193916349812,-30.323193916349812,449204,312991,69.67680608365019,0
2024-08-01,2024,Aug,8,Electronics,Laptop,LAP-W-08,West,924,531,427,-393,393,42.532467532467535,-42.532467532467535,394548,226737,57.467532467532465,0
2024-09-01,2024,Sep,9,Electronics,Laptop,LAP-W-09,West,1211,1350,427,139,139,11.47811725846408,11.47811725846408,517097,576450,88.52188274153592,1
2024-10-01,2024,Oct,10,Electronics,Laptop,LAP-W-10,West,929,526,427,-403,403,43.37997847147471,-43.37997847147471,396683,224602,56.6200215285253,0
2024-11-01,2024,Nov,11,Electronics,Laptop,LAP-W-11,West,567,482,427,-85,85,14.991181657848324,-14.991181657848324,242109,205814,85.00881834215168,1
2024-12-01,2024,Dec,12,Electronics,Laptop,LAP-W-12,West,563,598,427,35,35,6.216696269982238,6.216696269982238,240401,255346,93.78330373001776,1
2024-01-01,2024,Jan,1,Electronics,Tablet,TAB-N-01,North,567,598,169,31,31,5.467372134038801,5.467372134038801,95823,101062,94.53262786596119,1
2024-02-01,2024,Feb,2,Electronics,Tablet,TAB-N-02,North,661,663,169,2,2,0.30257186081694404,0.30257186081694404,111709,112047,99.69742813918305,1
2024-03-01,2024,Mar,3,Electronics,Tablet,TAB-N-03,North,635,593,169,-42,42,6.6141732283464565,-6.6141732283464565,107315,100217,93.38582677165354,1
2024-04-01,2024,Apr,4,Electronics,Tablet,TAB-N-04,North,691,557,169,-134,134,19.39218523878437,-19.39218523878437,116779,94133,80.60781476121564,1
2024-05-01,2024,May,5,Electronics,Tablet,TAB-N-05,North,866,778,169,-88,88,10.161662817551962,-10.161662817551962,146354,131482,89.83833718244803,1
2024-06-01,2024,Jun,6,Electronics,Tablet,TAB-N-06,North,727,772,169,45,45,6.189821182943604,6.189821182943604,122863,130468,93.8101788170564,1
